GAME_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OREB,AST,TOV,HOME_AWAY,OPPONENT_ABBREVIATION,PREV_GAME,REST_DAYS_NUM,REST_DAYS,OPP_REST_DAYS,OPP_REST_DAYS_NUM,REST_MATCHUP,REST_DAYS_NUM_CAT,OPP_REST_DAYS_NUM_CAT,REST_ADVANTAGE,REST_COMPARISON_GROUP,BACK_TO_BACK,B2B_VS_RESTED_OPP
0022401186,ATL,Atlanta Hawks,2025-04-13,ATL vs. ORL,1,117,0.534,0.425,0.6,12,9,32,16,1,ORL,2025-04-11,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400077,BKN,Brooklyn Nets,2024-10-25,BKN @ ORL,0,101,0.422,0.378,0.81,-15,8,22,19,0,ORL,2024-10-23,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400098,BKN,Brooklyn Nets,2024-10-27,BKN vs. MIL,1,115,0.429,0.356,0.913,13,12,23,12,1,MIL,2024-10-25,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400113,BKN,Brooklyn Nets,2024-10-29,BKN vs. DEN,0,139,0.51,0.385,0.778,-5,7,37,9,1,DEN,2024-10-27,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400124,BKN,Brooklyn Nets,2024-10-30,BKN @ MEM,1,119,0.513,0.366,0.88,13,8,27,19,0,MEM,2024-10-29,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400136,BKN,Brooklyn Nets,2024-11-01,BKN vs. CHI,1,120,0.521,0.306,0.846,8,9,34,11,1,CHI,2024-10-30,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400151,BKN,Brooklyn Nets,2024-11-03,BKN vs. DET,0,92,0.451,0.29,0.613,-14,4,23,14,1,DET,2024-11-01,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400158,BKN,Brooklyn Nets,2024-11-04,BKN vs. MEM,1,106,0.476,0.361,0.722,2,12,28,14,1,MEM,2024-11-03,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400187,BKN,Brooklyn Nets,2024-11-08,BKN @ BOS,0,104,0.41,0.263,0.8,-4,12,24,13,0,BOS,2024-11-04,3.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400199,BKN,Brooklyn Nets,2024-11-09,BKN @ CLE,0,100,0.447,0.349,0.944,-5,10,21,20,0,CLE,2024-11-08,0.0,0,0,0.0,0 vs 0,0,0,0,Descanso igual,1,0
0022400214,BKN,Brooklyn Nets,2024-11-11,BKN @ NOP,1,107,0.429,0.452,0.842,2,14,24,17,0,NOP,2024-11-09,1.0,1,2+,2.0,1 vs 2+,1,2,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400218,BKN,Brooklyn Nets,2024-11-13,BKN vs. BOS,0,114,0.506,0.442,0.833,-25,3,26,13,1,BOS,2024-11-11,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400014,BKN,Brooklyn Nets,2024-11-15,BKN @ NYK,0,122,0.438,0.413,0.893,-2,10,27,9,0,NYK,2024-11-13,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400240,BKN,Brooklyn Nets,2024-11-17,BKN @ NYK,0,104,0.421,0.415,0.767,-10,7,31,9,0,NYK,2024-11-15,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400022,BKN,Brooklyn Nets,2024-11-19,BKN vs. CHA,1,116,0.494,0.439,0.737,1,10,31,15,1,CHA,2024-11-17,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400027,BKN,Brooklyn Nets,2024-11-22,BKN @ PHI,0,98,0.494,0.351,1.0,-15,7,28,19,0,PHI,2024-11-19,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400276,BKN,Brooklyn Nets,2024-11-24,BKN @ SAC,1,108,0.48,0.487,0.68,5,6,24,14,0,SAC,2024-11-22,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400284,BKN,Brooklyn Nets,2024-11-25,BKN @ GSW,1,128,0.494,0.444,0.867,8,7,23,12,0,GSW,2024-11-24,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400297,BKN,Brooklyn Nets,2024-11-27,BKN @ PHX,1,127,0.506,0.429,0.955,10,7,32,13,0,PHX,2024-11-25,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400043,BKN,Brooklyn Nets,2024-11-29,BKN vs. ORL,0,100,0.494,0.483,0.714,-23,5,22,20,1,ORL,2024-11-27,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400305,BKN,Brooklyn Nets,2024-12-01,BKN vs. ORL,0,92,0.38,0.258,0.774,-8,8,19,17,1,ORL,2024-11-29,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400317,BKN,Brooklyn Nets,2024-12-02,BKN @ CHI,0,102,0.4,0.333,0.8,-26,10,24,13,0,CHI,2024-12-01,0.0,0,2+,2.0,0 vs 2+,0,2,-2,2+ dias de diferença (0 vs 2+),1,1
0022400320,BKN,Brooklyn Nets,2024-12-04,BKN vs. IND,1,99,0.432,0.333,0.739,9,7,24,17,1,IND,2024-12-02,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400348,BKN,Brooklyn Nets,2024-12-08,BKN vs. MIL,0,113,0.506,0.457,0.938,-5,7,24,13,1,MIL,2024-12-04,3.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022401211,BKN,Brooklyn Nets,2024-12-13,BKN @ MEM,0,119,0.457,0.377,0.789,-16,8,30,18,0,MEM,2024-12-08,4.0,2+,2+,4.0,2+ vs 2+,2,2,0,Descanso igual,0,0
0022401224,BKN,Brooklyn Nets,2024-12-16,BKN vs. CLE,0,101,0.42,0.412,0.792,-29,9,25,22,1,CLE,2024-12-13,2.0,2+,2+,2.0,2+ vs 2+,2,2,0,Descanso igual,0,0
